"person_id","gender","wave","race","race_label","age","n_dates","n_matches","match_rate","yes_rate_in","yes_rate_out","received_attr","received_sinc","received_intel","received_fun","received_amb","received_shar","received_like","received_prob_yes","received_met_before","pct_partner_black","pct_partner_white","pct_partner_latino","pct_partner_asian","pct_partner_native","pct_partner_other","pct_partner_race_missing","pct_samerace_partners","field_code","field","hometown","zipcode","income","career_code","career","id_in_wave","id_in_gender","condition","n_met_in_wave","undergrad_school","median_sat","tuition","imp_samerace","imp_samerelig","event_goal","date_freq","goout_freq","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","avg_int_corr","avg_partner_pref_attr","avg_partner_pref_sinc","avg_partner_pref_intel","avg_partner_pref_fun","avg_partner_pref_amb","avg_partner_pref_shar"
11,1,1,2,"European/Caucasian-American",27,10,0,0,0.4,0,5.6,8.8,8.2,5.4,6.4,5.22222222222222,6.2,5.2,1.9,0,0.6,0,0.3,0,0.1,0,0.6,8,"finance","argentina","0",NA,2,"academia, research, banking, life",1,2,1,10,NA,NA,NA,7,3,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.056,20.409,14.318,23.227,22.318,10.318,9.409
12,1,1,2,"European/Caucasian-American",22,10,2,0.2,0.4,0.3,7.1,6.6,7.1,6.7,6.9,6.11111111111111,6.9,4.2,1.5,0,0.6,0,0.3,0,0.1,0,0.6,1,"law","england","14850",29237,1,"corporate lawyer",2,4,1,10,NA,NA,NA,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.155,20.409,14.318,23.227,22.318,10.318,9.409
13,1,1,4,"Asian/Pacific Islander/Asian-American",22,10,4,0.4,0.4,1,4.8,7.9,8.8,7,5.9,5.88888888888889,6.4,5.11111111111111,1.6,0,0.6,0,0.3,0,0.1,0,0.3,1,"law","southern california","92821",NA,1,"lawyer",3,6,1,10,NA,NA,NA,3,5,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,0.119,20.409,14.318,23.227,22.318,10.318,9.409
14,1,1,2,"European/Caucasian-American",23,10,8,0.8,0.8,1,8.2,7.6,7.4,7.6,6.6,7.44444444444444,7.7,5.5,1.6,0,0.6,0,0.3,0,0.1,0,0.6,1,"law","cincinnati, ohio","45243",56580,1,"corporate attorney",4,8,1,10,NA,NA,NA,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,-0.057,20.409,14.318,23.227,22.318,10.318,9.409
15,1,1,3,"Latino/Hispanic American",24,10,3,0.3,0.3,0.9,5.7,7.6,7.7,7.2,6.5,6.66666666666667,6.3,4.77777777777778,1.7,0,0.6,0,0.3,0,0.1,0,0,1,"law","miami","33183",36782,1,"lawyer",5,10,1,10,NA,NA,NA,3,1,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,0.052,20.409,14.318,23.227,22.318,10.318,9.409
16,1,1,2,"European/Caucasian-American",25,10,2,0.2,0.3,0.8,5.6,8.4,7.6,4.4,6,4.66666666666667,5.6,3.77777777777778,2,0,0.6,0,0.3,0,0.1,0,0.6,8,"business","milan - italy","26900",NA,7,"research/financial industry",6,12,1,10,NA,NA,NA,9,2,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.274,20.409,14.318,23.227,22.318,10.318,9.409
17,1,1,2,"European/Caucasian-American",30,10,1,0.1,0.8,0.2,6.7,7.6,8.5,6.1,6.7,6.66666666666667,6.9,4.9,2,0,0.6,0,0.3,0,0.1,0,0.6,13,"political science","georgia, usa","30677",38548,2,"academics or journalism",7,14,1,10,NA,NA,NA,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.243,20.409,14.318,23.227,22.318,10.318,9.409
18,1,1,2,"European/Caucasian-American",27,10,1,0.1,0.3,0.3,5.1,7.4,7.7,5.2,7.5,5.55555555555556,5.8,5.6,2,0,0.6,0,0.3,0,0.1,0,0.6,8,"business","new york","10028",52010,7,"financial services",8,16,1,10,NA,NA,NA,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.153,20.409,14.318,23.227,22.318,10.318,9.409
19,1,1,2,"European/Caucasian-American",28,10,9,0.9,0.9,1,7.7,6.8,7.7,8.5,7.1,7.7,7.6,6.9,2,0,0.6,0,0.3,0,0.1,0,0.6,8,"money","california","2467",NA,7,"ceo",9,18,1,10,NA,NA,NA,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,-0.057,20.409,14.318,23.227,22.318,10.318,9.409
20,1,1,2,"European/Caucasian-American",24,10,1,0.1,0.9,0.1,7.5,7.3,7.9,8.2,8.4,7.3,8.3,6.6,2,0,0.6,0,0.3,0,0.1,0,0.6,8,"finance","washington dc","3031",NA,7,"ceo",10,20,1,10,NA,NA,NA,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,-0.078,20.409,14.318,23.227,22.318,10.318,9.409
21,0,2,4,"Asian/Pacific Islander/Asian-American",21,16,0,0,0.1875,0.125,5.0625,7.3125,7.75,5.66666666666667,6.66666666666667,5,5.875,5.06666666666667,2,0.125,0.625,0,0.25,0,0,0,0.25,5,"operations research","new jersey","7661",NA,10,"undecided",1,1,2,16,NA,NA,NA,8,10,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,0.110625,25.9375,20,22.5,18.4375,5.625,8.75
22,0,2,1,"Black/African American",27,16,2,0.125,0.1875,0.4375,4.8,6.625,6.5,5.5,6.07142857142857,4,5.0625,3.73333333333333,2,0.125,0.625,0,0.25,0,0,0,0.125,9,"tc (health ed)","ann arbor, mi","48104",28418,5,"informatics",2,3,2,16,NA,NA,NA,1,2,1,6,2,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,0.09,25.9375,20,22.5,18.4375,5.625,8.75
23,0,2,4,"Asian/Pacific Islander/Asian-American",21,16,3,0.1875,0.375,0.5,5.9375,7.26666666666667,6.9375,6.25,6.4,4.92307692307692,5.8125,5.07142857142857,1.875,0.125,0.625,0,0.25,0,0,0,0.25,3,"psychology","hong kong","0",NA,3,"psychologist",3,5,2,16,NA,NA,NA,9,6,1,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,0.025,25.9375,20,22.5,18.4375,5.625,8.75
24,0,2,2,"European/Caucasian-American",27,16,0,0,0.5,0.125,6.5,6.93333333333333,7.33333333333333,6.625,6.71428571428571,5.28571428571429,5.90625,4.53333333333333,2,0.125,0.625,0,0.25,0,0,0,0.625,11,"social work","new york","11561",43185,9,"health/nutrition oriented social worker",4,7,2,16,NA,NA,NA,2,3,2,6,4,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,0.03625,25.9375,20,22.5,18.4375,5.625,8.75
25,0,2,2,"European/Caucasian-American",25,16,0,0,0.875,0,7.6875,7.26666666666667,6.93333333333333,7.33333333333333,6,4.84615384615385,6.84375,5,1.9375,0.125,0.625,0,0.25,0,0,0,0.625,11,"social work","iowa","52803",23152,9,"social worker",5,9,2,16,NA,NA,NA,10,2,1,5,2,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,0.089375,25.9375,20,22.5,18.4375,5.625,8.75
26,0,2,2,"European/Caucasian-American",23,16,0,0,0.9375,0,7.625,7.13333333333333,7.26666666666667,7.46666666666667,6.5,6.15384615384615,7.15625,5.66666666666667,2,0.125,0.625,0,0.25,0,0,0,0.625,11,"social work","california","94596",43664,9,"social work with children",6,11,2,16,NA,NA,NA,2,4,1,5,2,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,0.06625,25.9375,20,22.5,18.4375,5.625,8.75
27,0,2,3,"Latino/Hispanic American",22,16,2,0.125,0.9375,0.125,8.1875,7.4,6.86666666666667,7.5625,6.57142857142857,5.78571428571429,7.53125,5.26666666666667,2,0.125,0.625,0,0.25,0,0,0,0,3,"speech language pathology","westchester, ny","10523",48441,9,"speech language pathologist",7,13,2,16,NA,NA,NA,1,5,1,6,2,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,-0.066875,25.9375,20,22.5,18.4375,5.625,8.75
28,0,2,2,"European/Caucasian-American",26,16,1,0.0625,0.5,0.1875,6.625,7.4375,7.25,6.375,6.625,5.64285714285714,6.5625,5.4,2,0.125,0.625,0,0.25,0,0,0,0.625,3,"speech languahe pathology",NA,NA,NA,NA,NA,8,15,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9375,20,22.5,18.4375,5.625,8.75
29,0,2,2,"European/Caucasian-American",22,16,2,0.125,0.1875,0.5625,5.75,7.2,6.53333333333333,6.13333333333333,6.53333333333333,4.69230769230769,5.9375,5.35714285714286,2,0.125,0.625,0,0.25,0,0,0,0.625,11,"social work","washington, dc","22151",61152,9,"social work administration",9,17,2,16,NA,NA,NA,4,5,1,6,1,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,0.0875,25.9375,20,22.5,18.4375,5.625,8.75
30,0,2,2,"European/Caucasian-American",23,16,2,0.125,0.25,0.25,6.0625,6.86666666666667,7.33333333333333,6.26666666666667,7.28571428571429,4.91666666666667,5.73333333333333,4.92857142857143,2,0.125,0.625,0,0.25,0,0,0,0.625,1,"law","boston","1867",NA,1,"lawyer",10,19,2,16,NA,NA,NA,2,4,1,7,2,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,0.098125,25.9375,20,22.5,18.4375,5.625,8.75
31,0,2,2,"European/Caucasian-American",24,16,4,0.25,0.8125,0.25,7.875,7.25,7.4375,6.5,7.6,5.81818181818182,7,5,1.8125,0.125,0.625,0,0.25,0,0,0,0.625,1,"law","washington, dc","13413",36485,1,"law",11,21,2,16,NA,NA,NA,4,8,1,4,3,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,-0.105625,25.9375,20,22.5,18.4375,5.625,8.75
32,0,2,4,"Asian/Pacific Islander/Asian-American",27,16,0,0,0.5625,0,6.93333333333333,7.8,8.2,7.2,7.46666666666667,5.42857142857143,6.75,4.53333333333333,2,0.125,0.625,0,0.25,0,0,0,0.25,3,"psychology","new jersey","8820",NA,2,"professor",12,23,2,16,NA,NA,NA,1,1,1,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,0.05375,25.9375,20,22.5,18.4375,5.625,8.75
33,0,2,2,"European/Caucasian-American",30,16,0,0,0.25,0.3125,6,7.8125,8.0625,6.8125,7.26666666666667,5.53333333333333,6.3125,5.13333333333333,2,0.125,0.625,0,0.25,0,0,0,0.625,3,"educational psychology","michigan","48124",41507,6,"clidren's tv",13,25,2,16,NA,NA,NA,4,8,6,6,1,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,-0.078125,25.9375,20,22.5,18.4375,5.625,8.75
34,0,2,4,"Asian/Pacific Islander/Asian-American",21,16,2,0.125,0.6875,0.125,7.1875,7.3125,7.33333333333333,6.86666666666667,7.25,5.21428571428571,6.8125,5.8,2,0.125,0.625,0,0.25,0,0,0,0.25,8,"applied maths/econs","singapore","807931",NA,7,"banking",14,27,2,16,NA,NA,NA,2,2,1,6,2,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,0.125,25.9375,20,22.5,18.4375,5.625,8.75
35,0,2,2,"European/Caucasian-American",25,16,5,0.3125,0.6875,0.5,7.3125,6.53333333333333,7.86666666666667,5.57142857142857,7.2,5.21428571428571,6.2,4.33333333333333,2,0.125,0.625,0,0.25,0,0,0,0.625,2,"mathematics","brazil","29055",17134,7,"capital markets",15,29,2,16,NA,NA,NA,9,7,1,6,3,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,0.055625,25.9375,20,22.5,18.4375,5.625,8.75
36,0,2,2,"European/Caucasian-American",26,16,2,0.125,0.5,0.1875,6.25,7,7.13333333333333,6.06666666666667,7.13333333333333,5.23076923076923,6.06666666666667,5.33333333333333,2,0.125,0.625,0,0.25,0,0,0,0.625,2,"statistics","brandeis university","8691",NA,4,"biostatistics",16,31,2,16,NA,NA,NA,7,8,2,5,2,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,0.11875,25.9375,20,22.5,18.4375,5.625,8.75
37,0,2,2,"European/Caucasian-American",27,16,2,0.125,0.1875,0.5625,4.93333333333333,6.86666666666667,7.4,5.66666666666667,6.4,5,5.66666666666667,4.6,1.93333333333333,0.125,0.625,0,0.25,0,0,0,0.625,3,"organizational psychology","cincinnati, oh","45213",30038,7,"organizational change consultant",17,33,2,16,NA,NA,NA,5,8,2,6,2,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,0.105,25.9375,20,22.5,18.4375,5.625,8.75
38,0,2,1,"Black/African American",23,16,3,0.1875,0.4375,0.25,6.53333333333333,7.53333333333333,7.73333333333333,7.6,7.71428571428571,6,6.8,5.13333333333333,1.8125,0.125,0.625,0,0.25,0,0,0,0.125,1,"law","new york","10025",33772,1,"law",19,34,2,16,NA,NA,NA,8,1,1,4,3,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,-0.046875,25.9375,20,22.5,18.4375,5.625,8.75
39,0,2,3,"Latino/Hispanic American",24,16,1,0.0625,0.125,0.5,4.33333333333333,7.33333333333333,6.86666666666667,7.26666666666667,6.2,5.35714285714286,6.06666666666667,4.53333333333333,1.9375,0.125,0.625,0,0.25,0,0,0,0,1,"law","los angeles","90026",24997,1,"lawyer",20,35,2,16,NA,NA,NA,6,4,5,6,4,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,0.045,25.9375,20,22.5,18.4375,5.625,8.75
40,1,2,4,"Asian/Pacific Islander/Asian-American",25,19,0,0,0.210526315789474,0,4.10526315789474,6.63157894736842,6.47368421052632,5.94736842105263,6,4.8,5.26315789473684,4.26315789473684,1.94736842105263,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.210526315789474,NA,"operations research","sf bay area, ca","94043",42096,NA,"tech professional",1,2,2,19,NA,NA,NA,9,6,2,7,7,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,-0.0622222222222222,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
41,1,2,4,"Asian/Pacific Islander/Asian-American",30,19,0,0,0,0.31578947368421,3.68421052631579,6.47368421052632,6.66666666666667,4,6.63157894736842,3.64285714285714,4.66666666666667,3.83333333333333,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.210526315789474,1,"law","china","10027",NA,1,"law",2,4,2,19,NA,NA,NA,1,1,2,6,5,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,-0.189444444444444,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
42,1,2,4,"Asian/Pacific Islander/Asian-American",23,19,0,0,0.210526315789474,0.210526315789474,4.94736842105263,6.05263157894737,6.88888888888889,5.73684210526316,6.77777777777778,4.8,5.47368421052632,3.8421052631579,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.210526315789474,5,"mechanical engineering","san francisco(home)/los angeles(undergrad)","94133",28891,5,"engineer",3,6,2,19,NA,NA,NA,1,6,2,7,4,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,0.324444444444444,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
43,1,2,2,"European/Caucasian-American",24,19,1,0.0526315789473684,0.157894736842105,0.368421052631579,4.26315789473684,6.36842105263158,6.94736842105263,4.63157894736842,6.33333333333333,3.9375,4.8421052631579,4.07894736842105,1.94444444444444,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,8,"economics","spain","6700",NA,2,"academic",4,8,2,19,NA,NA,NA,1,1,6,6,3,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,-0.0711111111111111,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
44,1,2,2,"European/Caucasian-American",24,19,4,0.210526315789474,0.210526315789474,1,4.89473684210526,6.63157894736842,6.78947368421053,4.61111111111111,5.89473684210526,4.1578947368421,5,4.26315789473684,1.94444444444444,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,3,"psychology","israel","22442",NA,2,"academia",5,10,2,19,NA,NA,NA,3,3,1,3,1,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,-0.0155555555555556,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
45,1,2,2,"European/Caucasian-American",28,19,4,0.210526315789474,0.210526315789474,0.894736842105263,5.21052631578947,6.21052631578947,6.89473684210526,3.77777777777778,6.52631578947368,4.05555555555556,5.05263157894737,3.68421052631579,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,8,"finance","switzerland","10012",NA,7,"banker / academia",6,12,2,19,NA,NA,NA,6,6,2,6,3,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,-0.130555555555556,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
46,1,2,2,"European/Caucasian-American",26,19,4,0.210526315789474,0.473684210526316,0.473684210526316,7.63157894736842,6.78947368421053,7.31578947368421,6.77777777777778,6.29411764705882,5.625,6.76315789473684,4.92105263157895,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,8,"finanace","italy","21020",NA,7,"banker",7,14,2,19,NA,NA,NA,2,3,2,6,2,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,-0.0766666666666667,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
47,1,2,2,"European/Caucasian-American",30,19,1,0.0526315789473684,0.0526315789473684,0.842105263157895,4.05263157894737,5.8421052631579,6.47368421052632,5.63157894736842,5.94736842105263,4.61111111111111,5.26315789473684,4.36842105263158,1.94736842105263,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,8,"finance&economics","italy","100",NA,2,"academic",8,16,2,19,NA,NA,NA,2,2,1,6,1,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,0.0105555555555556,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
48,1,2,2,"European/Caucasian-American",22,19,1,0.0526315789473684,0.421052631578947,0.263157894736842,6.73684210526316,6.26315789473684,5.89473684210526,6.78947368421053,5.63157894736842,5.11111111111111,6.1578947368421,4.47368421052632,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,12,"undergrad - gs","israel","62996",NA,6,"music production",9,18,2,19,NA,NA,NA,9,2,1,5,2,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,0.330555555555556,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
49,1,2,4,"Asian/Pacific Islander/Asian-American",25,19,6,0.31578947368421,0.421052631578947,0.736842105263158,6.31578947368421,7.05555555555556,7.5,6.97368421052632,7.05555555555556,5.94117647058824,6.42105263157895,4.94736842105263,1.89473684210526,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.210526315789474,8,"mathematical finance","philadelphia","19422",62635,7,"entrepreneur",10,20,2,19,NA,NA,NA,1,3,1,3,2,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,-0.0411111111111111,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
50,1,2,1,"Black/African American",27,19,4,0.210526315789474,0.578947368421053,0.473684210526316,6.31578947368421,6.57894736842105,7.38888888888889,7.63157894736842,7.66666666666667,5.875,6.47368421052632,5.10526315789474,1.89473684210526,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.105263157894737,1,"law","houston","77026",12063,1,"lawyer",11,22,2,19,NA,NA,NA,4,4,6,6,2,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,0.15,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
51,1,2,2,"European/Caucasian-American",23,19,1,0.0526315789473684,0.263157894736842,0.263157894736842,5.36842105263158,4.86842105263158,6.47368421052632,4.21052631578947,6.07894736842105,4.35294117647059,4.60526315789474,3.5,1.84210526315789,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,1,"law","philadelphia","19151",29809,1,"law",12,24,2,19,NA,NA,NA,5,10,1,5,3,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,-0.163333333333333,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
52,1,2,2,"European/Caucasian-American",21,19,1,0.0526315789473684,0.210526315789474,0.421052631578947,3.83333333333333,6.64705882352941,7.1764705882353,5.11111111111111,6.44444444444444,4.82352941176471,5.38888888888889,4.22222222222222,1.94444444444444,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,1,"law","brooklyn","11204",26482,1,"intellectual property attorney",13,26,2,19,NA,NA,NA,10,9,1,4,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,0.108888888888889,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
53,1,2,2,"European/Caucasian-American",28,19,1,0.0526315789473684,0.473684210526316,0.421052631578947,6.88888888888889,7,7.70588235294118,5.61111111111111,7.27777777777778,5.5,6.52777777777778,4.80555555555556,2,0.105263157894737,0.578947368421053,0.105263157894737,0.210526315789474,0,0,0,0.578947368421053,4,"medicine","boston","8071",NA,4,"medicine",14,28,2,19,NA,NA,NA,2,2,2,6,2,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,0.255555555555556,22.4444444444444,16.2777777777778,24.1111111111111,14.8888888888889,12.6666666666667,9.61111111111111
